CCSM_Modern(1950-1999).txt	CNRM_Modern(1950-1999).txt	FGOALS_Modern(1950-1999).txt	GISS_Modern(1950-1999).txt	MIROC_Modern(1950-1999).txt	MRI_Modern(1950-1999).txt
-8.93973554808436	-9.50852604837237	-11.8227664155049	-7.22537350400145	-6.18496417894072	-7.42973771556156
-11.2669925916206	-11.8730047697884	-12.9694064979059	-9.0044447568349	-7.21519182046892	-9.22050548633369
-12.3220758038149	-13.1862941498113	-14.123253294405	-9.96831103214509	-8.05330991111811	-10.1166312747621
-12.4793345668982	-13.2939661507137	-15.1430865784183	-9.95046279581518	-8.92175032186698	-9.93556801623611
-13.0491361618846	-13.3377787234427	-16.5581688419002	-10.3484785180075	-10.218452519293	-10.1813015353721
-13.6391544783431	-13.7414522591859	-17.2610355890236	-10.8016453107648	-10.9352580954669	-10.7645239325739
-8.73490508552153	-9.12341834887818	-11.9534930543415	-7.00693692188688	-6.40014970862791	-7.30512779728568
-11.7883541528347	-12.4495750907164	-13.1297028588413	-9.18894989004266	-7.36653813249589	-9.4074092814612
-12.6232033546945	-13.7019858065827	-14.3490531556076	-10.1783519387494	-8.20839051064503	-10.1430999367507
-12.2595241790015	-13.2869650313786	-15.3933204734109	-9.90571899932569	-8.94912284474876	-9.5518938460249
-12.7088175432231	-12.9290636620325	-16.6607558307029	-10.2264968150828	-10.3250369287748	-9.93166201533606
-13.443191614688	-13.5064298851024	-17.3217279698057	-10.5946434961303	-10.9624797349757	-10.6663211419942
-8.47676961855275	-8.91264695856849	-11.9778908677893	-6.93232679539669	-6.62563851347483	-7.15789652991725
-11.4611876720788	-12.0406946238643	-13.2515857867619	-8.60578114134731	-7.49396416558853	-8.9383296176614
-12.112368787084	-12.9109406569993	-14.513723414241	-9.55491092036446	-8.20961100569683	-9.30571987802192
-11.759425477715	-12.4005459987556	-15.623516565809	-9.69586185796594	-8.90985007388285	-8.97107041719033
-13.1374922721423	-13.4072418718795	-17.27464343524	-10.4201733990976	-10.9734231483437	-10.6425163434159
-8.47370021016669	-9.04970416310868	-12.0878120649121	-6.71546455377294	-6.425336965424	-7.12516218672173
-11.0988258371	-11.6127591445905	-13.3301856021514	-8.23897720310298	-7.3325899149706	-8.55358936231977
-11.5562885311385	-12.0723473618011	-14.503496091641	-9.09417000759452	-8.02175753263509	-8.59421419207345
-11.3280710705727	-11.6433640941153	-15.5017907966468	-9.3057711547323	-8.72561791113447	-8.49318534265888
-6.04735719142519	-6.56803012867675	-10.8955600997023	-5.39226011853963	-4.77952347455988	-4.9288328773096
-8.86277088396623	-9.32991391293824	-12.2387206039235	-6.7127756521794	-6.02196371820256	-7.25672018432825
-10.7114986499979	-11.4335503298861	-13.3379930334858	-7.9154157774203	-6.94098190595986	-8.20028759756476
-10.8795182372233	-11.4975934138578	-14.3384913935251	-8.59715891100024	-7.68528360320626	-8.04798319853171
-6.20563095273094	-6.67986979449771	-10.8337452364472	-5.70755650352602	-4.41140093969496	-5.03697338628636
-9.11174570796176	-9.3863182273119	-12.2829477087651	-6.95837317048733	-5.66168612934132	-7.24983870656607
-10.3176384106262	-11.1304585112238	-13.2406781951877	-7.68488448978085	-6.52610678920362	-7.82745767566271
-10.2426938738686	-10.9617164203506	-14.0679831315772	-8.18017353953835	-7.25154474348348	-7.66370216690954
-6.23458097435651	-6.66556251953267	-10.5505660316945	-5.73038234143433	-3.94377707223674	-4.96074744682031
-9.03076116852452	-9.14522991241498	-11.8385308130718	-6.9458475410798	-5.07568759162342	-6.97351321040757
-9.90622406977647	-10.6962844464866	-12.8239299938591	-7.42587623005908	-5.97828421522221	-7.3898051776272
-9.74042485140449	-10.5369267879066	-13.6699767306372	-7.82740494505754	-6.80245725827565	-7.30344914154265
-6.13009618991569	-6.47805635643066	-10.1228476771222	-5.28345248778747	-3.46041267172995	-4.68507481246239
-8.62872407670189	-8.66319567609863	-11.260299044966	-6.41296895318421	-4.47024256658162	-6.40677822042909
-9.39526302836068	-10.1306019721046	-12.2624057182326	-7.06789068589176	-5.43436995232445	-6.86987348056761
-9.22816507392115	-10.0670011312053	-13.1764792670865	-7.45969585033917	-6.38842386623119	-6.96442328747447
