ID	Species	zooregions
1	Oreophryne_furu	AUSTRALIA
2	Incilius_majordomus	NEOTROPICAL
3	Callulops_doriae	AUSTRALIA
4	Hynobius_arisanensis	MALASIA
5	Osteocephalus_mimeticus	NEOTROPICAL
6	Raorchestes_luteolus	MALASIA
7	Ischnocnema_spanios	NEOTROPICAL
8	Xenorhina_anorbis	AUSTRALIA
9	Rhacophorus_prominanus	MALASIA
10	Eurycea_robusta	NEARTIC
11	Trachycephalus_venulosus	NEOTROPICAL
12	Peltophryne_lemur	NEOTROPICAL
13	Brachycephalus_tridactylus	NEOTROPICAL
14	Allobates_trilineatus	NEOTROPICAL
15	Balebreviceps_hillmani	AFROTROPICAL
16	Leptodactylus_colombiensis	NEOTROPICAL
17	Petropedetes_johnstoni	AFROTROPICAL
18	Bolitoglossa_nigrescens	NEOTROPICAL
19	Cophixalus_saxatilis	AUSTRALIA
20	Eleutherodactylus_apostates	NEOTROPICAL
21	Gegeneophis_mhadeiensis	MALASIA
22	Telmatobius_contrerasi	NEOTROPICAL
23	Philoria_kundagungan	AUSTRALIA
24	Nymphargus_griffithsi	NEOTROPICAL
25	Nanorana_arnoldi	MALASIA
26	Amolops_vitreus	MALASIA
27	Beddomixalus_bijui	MALASIA
28	Ptychadena_anchietae	AFROTROPICAL
29	Aglyptodactylus_laticeps	AFROTROPICAL
30	Litoria_aurifera	AUSTRALIA
31	Ichthyophis_hypocyaneus	MALASIA
32	Arthroleptis_schubotzi	AFROTROPICAL
33	Arthroleptis_nikeae	AFROTROPICAL
34	Eurycea_quadridigitata	NEARTIC
35	Meristogenys_whiteheadi	MALASIA
36	Pachymedusa_dacnicolor	NEOTROPICAL
37	Leptolalax_hamidi	MALASIA
38	Phyllodytes_luteolus	NEOTROPICAL
39	Ichthyophis_lakimi	MALASIA
40	Dendropsophus_elianeae	NEOTROPICAL
41	Boophis_roseipalmatus	AFROTROPICAL
42	Ambystoma_rosaceum	NEOTROPICAL
43	Litoria_eurynastes	AUSTRALIA
44	Proceratophrys_carranca	NEOTROPICAL
45	Hylodes_amnicola	NEOTROPICAL
46	Pristimantis_adnus	NEOTROPICAL
47	Plectrohyla_ephemera	NEOTROPICAL
48	Craugastor_pelorus	NEOTROPICAL
49	Amietophrynus_funereus	AFROTROPICAL
50	Cardioglossa_trifasciata	AFROTROPICAL
51	Pristimantis_eremitus	NEOTROPICAL
52	Discodeles_malukuna	AUSTRALIA
53	Leptodactylus_leptodactyloides	NEOTROPICAL
54	Plethodon_savannah	NEARTIC
55	Ceratobatrachus_guentheri	AUSTRALIA
56	Breviceps_sylvestris	AFROTROPICAL
57	Sphaenorhynchus_lacteus	NEOTROPICAL
58	Pristimantis_ruedai	NEOTROPICAL
59	Eleutherodactylus_maestrensis	NEOTROPICAL
60	Pseudophilautus_amboli	MALASIA
61	Rhinella_acrolopha	NEOTROPICAL
62	Plethodon_cylindraceus	NEARTIC
63	Pristimantis_juanchoi	NEOTROPICAL
64	Gastrotheca_excubitor	NEOTROPICAL
65	Albericus_gudrunae	AUSTRALIA
66	Indirana_leptodactyla	MALASIA
67	Eleutherodactylus_rufescens	NEOTROPICAL
68	Ichthyophis_acuminatus	MALASIA
69	Cycloramphus_faustoi	NEOTROPICAL
70	Callulops_wilhelmanus	AUSTRALIA
71	Leptodactylodon_erythrogaster	AFROTROPICAL
72	Phrynobatrachus_brevipalmatus	AFROTROPICAL
73	Pristimantis_leucopus	NEOTROPICAL
74	Pristimantis_polychrus	NEOTROPICAL
75	Boophis_pyrrhus	AFROTROPICAL
76	Oscaecilia_osae	NEOTROPICAL
77	Leptolalax_tamdil	MALASIA
78	Cardioglossa_nigromaculata	AFROTROPICAL
79	Rana_italica	PALEARTIC
80	Hyperolius_puncticulatus	AFROTROPICAL
81	Pristimantis_hybotragus	NEOTROPICAL
82	Ptychadena_erlangeri	AFROTROPICAL
83	Platymantis_neckeri	AUSTRALIA
84	Leptopelis_fenestratus	AFROTROPICAL
85	Hyalinobatrachium_taylori	NEOTROPICAL
86	Aubria_subsigillata	AFROTROPICAL
87	Fejervarya_murthii	MALASIA
88	Hylarana_parvaccola	MALASIA
89	Petropedetes_cameronensis	AFROTROPICAL
90	Crinia_pseudinsignifera	AUSTRALIA
91	Oreophryne_wolterstorffi	AUSTRALIA
92	Odorrana_aureola	MALASIA
93	Hyperolius_atrigularis	AFROTROPICAL
94	Conraua_goliath	AFROTROPICAL
95	Dischidodactylus_duidensis	NEOTROPICAL
96	Stefania_breweri	NEOTROPICAL
97	Nymphargus_cristinae	NEOTROPICAL
98	Anomaloglossus_rufulus	NEOTROPICAL
99	Leptopelis_aubryioides	AFROTROPICAL
100	Leptopelis_karissimbensis	AFROTROPICAL
101	Boophis_sibilans	AFROTROPICAL
102	Bokermannohyla_sazimai	NEOTROPICAL
103	Hemiphractus_bubalus	NEOTROPICAL
104	Phrynella_pulchra	MALASIA
105	Phrynobatrachus_acutirostris	AFROTROPICAL
106	Pseudoeurycea_galeanae	NEOTROPICAL
107	Bufotes_turanensis	PALEARTIC
108	Proceratophrys_brauni	NEOTROPICAL
109	Batrachoseps_wrighti	NEARTIC
110	Euphlyctis_ghoshi	MALASIA
111	Niceforonia_adenobrachia	NEOTROPICAL
112	Leptopelis_broadleyi	AFROTROPICAL
113	Atelognathus_ceii	NEOTROPICAL
114	Amolops_gerbillus	MALASIA
115	Bolitoglossa_cuchumatana	NEOTROPICAL
116	Barygenys_parvula	AUSTRALIA
117	Leptodactylus_jolyi	NEOTROPICAL
118	Quasipaa_yei	MALASIA
119	Ameerega_macero	NEOTROPICAL
120	Phyllobates_bicolor	NEOTROPICAL
121	Amolops_longimanus	MALASIA
122	Gegeneophis_pareshi	MALASIA
123	Gephyromantis_salegy	AFROTROPICAL
124	Dendropsophus_pelidna	NEOTROPICAL
125	Phyllodytes_kautskyi	NEOTROPICAL
126	Rhyacotriton_olympicus	NEARTIC
127	Rhinoderma_rufum	NEOTROPICAL
128	Rhinella_castaneotica	NEOTROPICAL
129	Scinax_x.signatus	NEOTROPICAL
130	Atelopus_quimbaya	NEOTROPICAL
131	Trachycephalus_mambaiensis	NEOTROPICAL
132	Eleutherodactylus_mariposa	NEOTROPICAL
133	Ptychohyla_spinipollex	NEOTROPICAL
134	Phyllomedusa_rohdei	NEOTROPICAL
135	Nothophryne_broadleyi	AFROTROPICAL
136	Hypsiboas_lundii	NEOTROPICAL
137	Craugastor_pozo	NEOTROPICAL
138	Osornophryne_bufoniformis	NEOTROPICAL
139	Nyctimystes_kuduki	AUSTRALIA
140	Hyloxalus_vertebralis	NEOTROPICAL
141	Pristimantis_cruciocularis	NEOTROPICAL
142	Centrolene_scirtetes	NEOTROPICAL
143	Callulops_sagittatus	AUSTRALIA
144	Ambystoma_cingulatum	NEARTIC
145	Ichthyophis_mindanaoensis	OCEANIA
146	Leptolalax_melanoleucus	MALASIA
147	Pseudis_tocantins	NEOTROPICAL
148	Gephyromantis_granulatus	AFROTROPICAL
149	Diasporus_hylaeformis	NEOTROPICAL
150	Pachytriton_feii	MALASIA
151	Limnonectes_khammonensis	MALASIA
152	Phyllobates_aurotaenia	NEOTROPICAL
153	Ranitomeya_reticulata	NEOTROPICAL
154	Atelognathus_solitarius	NEOTROPICAL
155	Hyalinobatrachium_colymbiphyllum	NEOTROPICAL
156	Gastrotheca_abdita	NEOTROPICAL
157	Hyloxalus_pinguis	NEOTROPICAL
158	Arthroleptis_nimbaensis	AFROTROPICAL
159	Plethodon_glutinosus	NEARTIC
160	Scutiger_muliensis	MALASIA
161	Aneides_vagrans	NEARTIC
162	Pristimantis_petrobardus	NEOTROPICAL
163	Duttaphrynus_atukoralei	MALASIA
164	Eleutherodactylus_lentus	NEOTROPICAL
165	Anomaloglossus_atopoglossus	NEOTROPICAL
166	Scinax_arduous	NEOTROPICAL
167	Phrynopus_peruanus	NEOTROPICAL
168	Austrochaperina_macrorhyncha	AUSTRALIA
169	Scotobleps_gabonicus	AFROTROPICAL
170	Batrachoseps_kawia	NEARTIC
171	Pristimantis_moro	NEOTROPICAL
172	Bokermannohyla_feioi	NEOTROPICAL
173	Cardioglossa_pulchra	AFROTROPICAL
174	Salamandra_lanzai	PALEARTIC
175	Microhyla_okinavensis	MALASIA
176	Mertensophryne_anotis	AFROTROPICAL
177	Stumpffia_gimmeli	AFROTROPICAL
178	Litoria_longirostris	AUSTRALIA
179	Scinax_longilineus	NEOTROPICAL
180	Scinax_baumgardneri	NEOTROPICAL
181	Pristimantis_quantus	NEOTROPICAL
182	Proceratophrys_redacta	NEOTROPICAL
183	Tylototriton_wenxianensis	MALASIA
184	Incilius_peripatetes	NEOTROPICAL
185	Parhoplophryne_usambarica	AFROTROPICAL
186	Rana_aurora	NEARTIC
187	Phrynopus_bracki	NEOTROPICAL
188	Elachistocleis_cesarii	NEOTROPICAL
189	Raorchestes_jayarami	MALASIA
190	Ansonia_latirostra	MALASIA
191	Batrachoseps_major	NEARTIC
192	Phyllomedusa_hypochondrialis	NEOTROPICAL
193	Gastrotheca_ossilaginis	NEOTROPICAL
194	Tomopterna_luganga	AFROTROPICAL
195	Cardioglossa_cyaneospila	AFROTROPICAL
196	Ichthyophis_kodaguensis	MALASIA
197	Bolitoglossa_tzultacaj	NEOTROPICAL
198	Cophixalus_verrucosus	AUSTRALIA
199	Pristimantis_wiensi	NEOTROPICAL
200	Pristimantis_riveroi	NEOTROPICAL
201	Litoria_verae	AUSTRALIA
202	Strongylopus_bonaespei	AFROTROPICAL
203	Noblella_myrmecoides	NEOTROPICAL
204	Eleutherodactylus_casparii	NEOTROPICAL
205	Pseudoeurycea_praecellens	NEOTROPICAL
206	Callulina_dawida	AFROTROPICAL
207	Scinax_skaios	NEOTROPICAL
208	Nymphargus_bejaranoi	NEOTROPICAL
209	Atelopus_bomolochos	NEOTROPICAL
210	Osteocephalus_leprieurii	NEOTROPICAL
211	Bolitoglossa_chica	NEOTROPICAL
212	Leptopelis_oryi	AFROTROPICAL
213	Xenophrys_huangshanensis	MALASIA
214	Telmatobius_arequipensis	NEOTROPICAL
215	Ansonia_endauensis	MALASIA
216	Hyloxalus_sauli	NEOTROPICAL
217	Boophis_burgeri	AFROTROPICAL
218	Phrynobatrachus_danko	AFROTROPICAL
219	Eurycea_troglodytes	NEARTIC
220	Boulengerula_fischeri	AFROTROPICAL
221	Eupsophus_contulmoensis	NEOTROPICAL
222	Hyla_annectans	MALASIA
223	Cynops_chenggongensis	MALASIA
224	Gymnopis_multiplicata	NEOTROPICAL
225	Ichthyophis_khumhzi	MALASIA
226	Microhyla_orientalis	MALASIA
227	Hyperolius_bicolor	AFROTROPICAL
228	Odorrana_splendida	MALASIA
229	Alytes_maurus	PALEARTIC
230	Bokermannohyla_luctuosa	NEOTROPICAL
231	Xenophrys_aceras	MALASIA
232	Rhinella_magnussoni	NEOTROPICAL
233	Callulops_mediodiscus	AUSTRALIA
234	Mannophryne_cordilleriana	NEOTROPICAL
235	Liophryne_rhododactyla	AUSTRALIA
236	Hylodes_heyeri	NEOTROPICAL
237	Platymantis_insulatus	OCEANIA
238	Acris_blanchardi	NEARTIC
239	Vandijkophrynus_robinsoni	AFROTROPICAL
240	Pristimantis_ocellatus	NEOTROPICAL
241	Oophaga_histrionica	NEOTROPICAL
242	Bolitoglossa_cerroensis	NEOTROPICAL
243	Leptophryne_borbonica	MALASIA
244	Eupsophus_calcaratus	NEOTROPICAL
245	Eurycea_tridentifera	NEARTIC
246	Raorchestes_chlorosomma	MALASIA
247	Pachytriton_brevipes	MALASIA
248	Bokermannohyla_capra	NEOTROPICAL
249	Batrachoseps_stebbinsi	NEARTIC
250	Nymphargus_armatus	NEOTROPICAL
251	Cochranella_megista	NEOTROPICAL
252	Pseudoeurycea_robertsi	NEOTROPICAL
253	Hypsiboas_calcaratus	NEOTROPICAL
254	Microhyla_fowleri	MALASIA
255	Philautus_longicrus	OCEANIA
256	Atretochoana_eiselti	NEOTROPICAL
257	Physalaemus_insperatus	NEOTROPICAL
258	Hyperolius_nitidulus	AFROTROPICAL
259	Oreophryne_rookmaakeri	OCEANIA
260	Dendropsophus_leali	NEOTROPICAL
261	Phasmahyla_exilis	NEOTROPICAL
262	Amolops_lifanensis	MALASIA
263	Pseudophilautus_macropus	MALASIA
264	Odorrana_utsunomiyaorum	MALASIA
265	Rhacophorus_arboreus	PALEARTIC
266	Fejervarya_kudremukhensis	MALASIA
267	Mantidactylus_charlotteae	AFROTROPICAL
268	Werneria_bambutensis	AFROTROPICAL
269	Craugastor_fitzingeri	NEOTROPICAL
270	Proceratophrys_moehringi	NEOTROPICAL
271	Scaphiophryne_brevis	AFROTROPICAL
272	Craugastor_catalinae	NEOTROPICAL
273	Uperodon_globulosus	MALASIA
274	Breviceps_sopranus	AFROTROPICAL
275	Liophryne_allisoni	AUSTRALIA
276	Centrolene_venezuelense	NEOTROPICAL
277	Scinax_pachycrus	NEOTROPICAL
278	Latonia_nigriventer	PALEARTIC
279	Pristimantis_rhodostichus	NEOTROPICAL
280	Thoropa_lutzi	NEOTROPICAL
281	Limnonectes_ferneri	OCEANIA
282	Tlalocohyla_picta	NEOTROPICAL
283	Hypsiboas_roraima	NEOTROPICAL
284	Hypsiboas_exastis	NEOTROPICAL
285	Nyctibatrachus_aliciae	MALASIA
286	Pristimantis_bearsei	NEOTROPICAL
287	Pristimantis_abakapa	NEOTROPICAL
288	Litoria_mucro	AUSTRALIA
289	Oscaecilia_ochrocephala	NEOTROPICAL
290	Amolops_ricketti	MALASIA
291	Centrolene_peristictum	NEOTROPICAL
292	Hyperolius_fusciventris	AFROTROPICAL
293	Crinia_signifera	AUSTRALIA
294	Scinax_humilis	NEOTROPICAL
295	Ansonia_leptopus	MALASIA
296	Gephyromantis_rivicola	AFROTROPICAL
297	Pristimantis_serendipitus	NEOTROPICAL
298	Bolitoglossa_alberchi	NEOTROPICAL
299	Feihyla_fuhua	MALASIA
300	Amietia_ruwenzorica	AFROTROPICAL
301	Incilius_epioticus	NEOTROPICAL
302	Litoria_castanea	AUSTRALIA
303	Odorrana_zhaoi	MALASIA
304	Eleutherodactylus_albolabris	NEOTROPICAL
305	Uperoleia_talpa	AUSTRALIA
306	Pseudopaludicola_llanera	NEOTROPICAL
307	Hypsiboas_rubracylus	NEOTROPICAL
308	Allobates_algorei	NEOTROPICAL
309	Hyperolius_houyi	AFROTROPICAL
310	Gastrophryne_olivacea	NEARTIC
311	Lithodytes_lineatus	NEOTROPICAL
312	Rana_japonica	PALEARTIC
313	Ansonia_jeetsukumarani	MALASIA
314	Hyalinobatrachium_duranti	NEOTROPICAL
315	Allobates_caeruleodactylus	NEOTROPICAL
316	Platymantis_bayani	OCEANIA
317	Urspelerpes_brucei	NEARTIC
318	Incilius_marmoreus	NEOTROPICAL
319	Rhinella_ceratophrys	NEOTROPICAL
320	Wolterstorffina_mirei	AFROTROPICAL
321	Limnonectes_woodworthi	OCEANIA
322	Astylosternus_batesi	AFROTROPICAL
323	Xenorhina_ocellata	AUSTRALIA
324	Nototriton_abscondens	NEOTROPICAL
325	Pristimantis_bisignatus	NEOTROPICAL
326	Boophis_arcanus	AFROTROPICAL
327	Thorius_narismagnus	NEOTROPICAL
328	Dermophis_glandulosus	NEOTROPICAL
329	Atelopus_seminiferus	NEOTROPICAL
330	Rheobatrachus_vitellinus	AUSTRALIA
331	Dermatonotus_muelleri	NEOTROPICAL
332	Craugastor_coffeus	NEOTROPICAL
333	Telmatobius_philippii	NEOTROPICAL
334	Colostethus_imbricolus	NEOTROPICAL
335	Fejervarya_multistriata	MALASIA
336	Adelastes_hylonomos	NEOTROPICAL
337	Oedipina_alleni	NEOTROPICAL
338	Melanophryniscus_alipioi	NEOTROPICAL
339	Platyplectrum_ornatum	AUSTRALIA
340	Hynobius_abei	PALEARTIC
341	Leptopelis_occidentalis	AFROTROPICAL
342	Silverstoneia_punctiventris	NEOTROPICAL
343	Smilisca_sila	NEOTROPICAL
