ID	Species	Range	sd.phy	sd.rg	Latitude	Longitude	meanT0	meanT1	Haldane	P_Rescue	P_RescueP	rescuep_save_05	rescuep_save_095
1	Oreophryne_furu	1	2.631188884	2.631188884	-3.5	138.5	21.18428258	24.66784979	0.032291507	0.731	1	0	1
2	Incilius_majordomus	1	7.119176897	7.119176897	7.5	-80.5	25.91156037	28.84440572	0.009154758	1	1	0	1
3	Callulops_doriae	19	2.272544609	2.272544609	-8.5	146.9736842	23.85331813	27.06665474	0.03448736	0.636	1	0	1
4	Hynobius_arisanensis	4	1.690451212	1.690451212	23	121	23.01708531	26.04090362	0.041599163	0.3	0.967	0	1
5	Osteocephalus_mimeticus	29	2.652684401	2.652684401	-6.5	-76.29310345	21.72734406	26.06889171	0.037196863	0.518	0.999	0	1
6	Raorchestes_luteolus	4	0.862749928	0.862749928	14	75	24.94204399	28.33213894	0.093557291	0	0	1	0
7	Ischnocnema_spanios	2	2.241921702	2.241921702	-23.5	-46	20.88382915	24.50801719	0.032990903	0.704	1	0	1
8	Xenorhina_anorbis	2	1.431527408	1.431527408	-5	141	20.86060248	24.27528364	0.050751938	0.034	0.678	0	0
9	Rhacophorus_prominanus	20	0.918270803	0.918270803	2.8	100.6	25.50275508	28.77214127	0.080917559	0	0.001	1	0
10	Eurycea_robusta	1	1.941203924	1.941203924	29.5	-97.5	19.84939399	23.92452646	0.047710931	0.081	0.828	0	0
11	Trachycephalus_venulosus	1171	2.360831758	2.360831758	-5.476942784	-62.16780529	24.15538724	28.54118762	0.038702818	0.443	0.992	0	1
12	Peltophryne_lemur	4	1.785005872	1.785005872	18.25	-66.25	25.6066763	28.24152838	0.03354779	0.65	1	0	1
13	Brachycephalus_tridactylus	1	2.929137815	2.929137815	-25.5	-48.5	21.37395521	24.81982118	0.026142436	0.928	1	0	1
14	Allobates_trilineatus	108	3.261860728	3.261860728	-8.824074074	-71.10185185	23.39413326	28.07101956	0.028676186	0.86	1	0	1
15	Balebreviceps_hillmani	1	1.449022864	1.449022864	6.5	39.5	16.14937984	19.72311515	0.051381397	0.031	0.698	0	0
16	Leptodactylus_colombiensis	35	2.630574028	2.630574028	5.042857143	-74.81428571	20.35731194	24.47673029	0.033318659	0.68	1	0	1
17	Petropedetes_johnstoni	32	1.429573279	1.429573279	1.0625	10.1875	24.13336735	27.59269854	0.052605105	0.006	0.629	0	0
18	Bolitoglossa_nigrescens	2	3.029384487	3.029384487	9.5	-84	25.55372881	28.64637774	0.021268408	0.992	1	0	1
19	Cophixalus_saxatilis	1	2.366387938	2.366387938	-15.5	145.5	25.08861478	28.24926922	0.026712902	0.908	1	0	1
20	Eleutherodactylus_apostates	2	0.283239831	0.283239831	18.5	-74	26.73596093	29.72133124	0.234223987	0	0	1	0
21	Gegeneophis_mhadeiensis	1	1.092537535	1.092537535	15.5	74.5	24.73661207	28.15081889	0.072674994	0	0.04	1	0
22	Telmatobius_contrerasi	1	2.393654734	2.393654734	-29.5	-68.5	12.03526091	16.39783763	0.045563972	0.147	0.873	0	0
23	Philoria_kundagungan	2	4.569554782	4.569554782	-28	152.5	17.20379236	21.02462486	0.017419788	1	1	0	1
24	Nymphargus_griffithsi	28	2.396694628	2.396694628	2.964285714	-76.92857143	20.71902169	24.46879909	0.039114051	0.4	0.985	0	1
25	Nanorana_arnoldi	4	0.102776509	0.102776509	28	98	5.588521531	10.1120021	1.100319668	0	0	1	0
26	Amolops_vitreus	1	1.987083062	1.987083062	22.5	102.5	16.26739043	20.30331959	0.050777057	0.037	0.708	0	0
27	Beddomixalus_bijui	1	2.559464993	2.559464993	10.5	77.5	24.3327451	27.89788118	0.033164819	0.716	1	0	1
28	Ptychadena_anchietae	659	2.810432456	2.810432456	-7.536418816	31.21775417	21.53167176	25.57629164	0.032707841	0.73	1	0	1
29	Aglyptodactylus_laticeps	1	2.691711021	2.691711021	-19.5	44.5	25.51572458	29.0137454	0.029535293	0.829	1	0	1
30	Litoria_aurifera	1	2.014599249	2.014599249	-15.5	125.5	26.27883313	29.54578273	0.034502925	0.609	1	0	1
31	Ichthyophis_hypocyaneus	4	3.588447943	3.588447943	-6.75	107.75	26.17604989	29.38426875	0.01943567	1	1	0	1
32	Arthroleptis_schubotzi	6	2.052368103	2.052368103	0	29.83333333	18.99825925	22.80668661	0.039481402	0.39	0.984	0	1
33	Arthroleptis_nikeae	1	0.962823626	0.962823626	-6.5	36.5	20.40321915	23.92193155	0.081212807	0	0.003	1	0
34	Eurycea_quadridigitata	111	2.431449233	2.431449233	31.52702703	-86.49099099	19.0164606	23.24089161	0.035457404	0.582	1	0	1
35	Meristogenys_whiteheadi	6	1.89672371	1.89672371	4.5	116	23.97164776	27.47680771	0.03850016	0.462	0.993	0	1
36	Pachymedusa_dacnicolor	46	4.030199464	4.030199464	20.65217391	-103.1521739	21.47245968	25.54558345	0.022458904	0.985	1	0	1
